company_name,length,first_senti_avg,last_senti_avg,senti_improve,verify_thread
ATT,3.6342412451361867,1.771919584954604,1.800259403372244,0.02833981841763943,257
ATVIAssist,4.428289797930015,1.7163805377580634,1.8144054073083138,0.09802486955025144,2029
AWSSupport,3.3865546218487395,1.7226890756302522,2.0408963585434177,0.31820728291316525,119
AdobeCare,5.617704280155642,1.7364708788833316,1.9054798962386514,0.16900901735532095,1028
AirAsiaSupport,5.264496439471007,1.8725815046262682,1.9240057162234177,0.05142421159715158,983
AirbnbHelp,4.775444264943457,1.7665128086775894,1.9064216478190623,0.13990883914147242,619
AlaskaAir,4.259740259740259,1.8706439393939382,2.039475108225108,0.16883116883116872,616
AldiUK,3.404938271604938,1.8692181069958853,2.0217695473251034,0.15255144032921814,405
AmazonHelp,5.605591909577632,1.7503246582270449,1.821673582453724,0.0713489242266754,23534
AmericanAir,4.242372467659263,1.7722146673330508,1.878445029464069,0.10623036213102104,4097
AppleSupport,4.360838167396709,1.7393908046624933,1.852313444615442,0.11292263995294674,8447
ArbysCares,3.80327868852459,1.726571038251366,1.9285519125683064,0.20198087431693984,244
ArgosHelpers,4.667493796526054,1.729335539012959,1.9313344361731457,0.20199889716018757,1209
AskAmex,5.243531202435312,1.771144089294772,1.9356852939044717,0.1645412046096979,1314
AskCiti,4.73,1.783992063492063,1.891777777777778,0.10778571428571432,300
AskDSC,3.4444444444444446,1.8009259259259258,2.1203703703703707,0.3194444444444444,18
AskLyft,3.7009345794392523,1.7357087227414332,1.93478712357217,0.19907840083073738,642
AskPapaJohns,3.865296803652968,1.808632311372037,1.9223363774733637,0.1137040661013264,438
AskPayPal,3.891500904159132,1.7554852320675112,1.9530138637733574,0.19752863170584695,553
AskPlayStation,4.470034246575342,1.6445929142204831,1.8278474260708848,0.18325451185040229,2336
AskRBC,3.7642857142857142,1.8098809523809527,1.9390476190476194,0.12916666666666665,140
AskRobinhood,3.5641025641025643,1.8675213675213673,1.8611111111111114,-0.0064102564102563875,39
AskSeagate,4.622641509433962,1.7490566037735855,1.842767295597484,0.09371069182389934,53
AskTarget,3.7351955307262568,1.7544213886671984,1.883659217877094,0.12923782920989618,895
